"","Gender","Age","Membership.Tenure","CUSSAT1","CUSSAT2","CUSSAT3","CUSSAT4","COASAT1","COASAT2","COASAT3","COASAT4","COASAT5","CLIM1","CLIM2","CLIM3","CLIM4","CLIM5","CLIM6","COND1","COND2","COND3","COND4","COND5","COND6","AgeGroup","Gender_new","CUSSAT_total","COASAT_total","CLIM_total","COND_total"
"46",2,26,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",20,25,29,30
"47",2,40,3,5,5,5,5,5,5,5,5,5,3,5,5,4,5,4,3,4,5,5,5,5,"Adult","male",20,25,26,27
"48",1,32,7,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","female",19,24,29,30
"49",2,39,26,5,4,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,"Adult","male",17,21,25,26
"50",2,29,9,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,4,5,5,5,5,"Young Adult","male",20,24,28,29
"51",2,22,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,"Young Adult","male",20,25,29,30
"52",2,37,53,5,4,4,4,4,4,4,4,5,5,3,5,4,5,4,4,3,4,5,5,5,"Adult","male",17,21,26,26
"53",2,23,7,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,5,5,5,"Young Adult","male",20,25,28,29
"54",2,34,26,5,3,3,3,4,4,3,3,4,3,3,3,3,3,3,4,3,4,4,3,3,"Young Adult","male",14,18,18,21
"55",2,22,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",20,25,30,30
"56",2,20,48,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Teenager","male",20,25,30,30
"57",2,33,19,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,"Young Adult","male",19,25,28,30
"58",2,43,17,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4,4,5,5,5,4,"Adult","male",20,24,29,27
"59",2,52,30,5,5,4,4,5,5,5,5,5,3,5,4,5,5,4,4,5,5,5,5,5,"Old","male",18,25,26,29
"60",2,46,3,4,4,5,4,5,5,4,5,5,3,5,4,4,4,3,4,5,5,5,5,5,"Adult","male",17,24,23,29
"61",2,37,55,5,5,4,4,4,5,5,5,4,5,3,5,5,5,4,5,3,5,5,5,5,"Adult","male",18,23,27,28
"62",2,25,4,5,4,5,5,5,4,4,5,5,5,4,4,5,4,5,5,5,5,5,5,5,"Young Adult","male",19,23,27,30
"63",2,23,9,5,5,3,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",16,20,30,30
"64",1,39,37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Adult","female",20,25,30,30
"65",2,62,37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,"Old","male",20,25,30,26
"66",2,26,8,5,5,3,5,5,5,4,3,5,5,5,4,5,4,4,5,5,5,5,5,5,"Young Adult","male",18,22,27,30
"67",1,51,37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,"Old","female",20,25,30,29
"68",2,22,8,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",19,24,29,30
"69",2,55,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,"Old","male",20,25,30,28
"70",2,29,18,3,3,3,3,3,3,2,4,3,4,3,4,2,3,4,2,3,4,4,3,4,"Young Adult","male",12,15,20,20
"71",1,21,7,5,4,5,5,4,4,5,4,5,4,4,4,5,4,5,5,5,5,5,5,5,"Young Adult","female",19,22,26,30
"72",1,51,30,5,5,4,4,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,"Old","female",18,21,29,30
"73",2,22,7,4,3,4,4,5,5,4,5,4,3,4,3,4,3,2,5,5,5,5,4,5,"Young Adult","male",15,23,19,29
"74",1,35,55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,"Young Adult","female",20,25,30,28
"75",2,27,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",20,23,30,30
"76",1,26,12,5,5,4,3,4,4,3,4,4,3,3,3,3,5,4,3,4,4,5,4,4,"Young Adult","female",17,19,21,24
"77",1,50,54,5,4,4,5,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,4,5,"Adult","female",18,22,30,26
"78",1,62,54,1,1,2,2,5,5,4,4,5,5,5,5,5,5,5,3,4,5,5,5,5,"Old","female",6,23,30,27
"79",1,35,9,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,"Young Adult","female",18,25,30,29
"80",2,27,30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Young Adult","male",16,20,24,24
"81",2,24,52,5,4,5,4,4,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",18,20,30,30
"82",1,26,52,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","female",20,25,30,30
"83",1,47,30,4,3,3,2,4,3,5,4,4,4,4,4,4,4,5,4,3,5,5,4,4,"Adult","female",12,20,25,25
"84",2,18,6,5,5,5,5,5,5,4,5,3,5,5,5,5,3,3,5,5,5,5,5,5,"Teenager","male",20,22,26,30
"85",2,46,10,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,"Adult","male",18,25,29,30
"86",2,25,24,4,5,4,4,5,5,5,4,5,4,5,5,4,5,4,5,4,5,4,4,4,"Young Adult","male",17,24,27,26
"87",2,30,14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",20,25,30,30
"88",2,23,5,4,4,2,2,3,2,2,3,4,4,2,4,3,4,4,4,3,5,5,2,5,"Young Adult","male",12,14,21,24
"89",2,37,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Adult","male",20,25,30,30
"90",2,55,56,4,5,4,4,4,3,4,4,4,5,4,3,3,3,5,2,2,4,5,3,3,"Old","male",17,19,23,19
"93",2,31,19,5,5,5,5,5,4,4,5,5,4,4,4,5,4,4,5,5,5,5,5,5,"Young Adult","male",20,23,25,30
"95",2,27,36,3,3,4,4,4,3,4,4,3,4,3,4,4,3,3,3,2,5,5,2,2,"Young Adult","male",14,18,21,19
"97",2,23,9,5,4,5,5,4,4,4,4,4,4,5,4,4,4,5,4,4,4,5,5,5,"Young Adult","male",19,20,26,27
"101",1,28,6,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,5,5,"Young Adult","female",20,25,25,29
"102",2,28,12,4,4,3,3,4,4,3,5,3,5,5,5,5,4,4,3,5,4,5,4,4,"Young Adult","male",14,19,28,25
"103",1,23,6,5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5,5,5,"Young Adult","female",19,25,27,29
"104",2,35,36,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,"Young Adult","male",18,25,30,29
"105",2,24,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",20,25,30,30
"106",1,30,1,4,4,5,5,5,4,4,3,5,2,3,2,3,1,1,4,5,5,5,4,5,"Young Adult","female",18,21,12,28
"107",1,40,48,5,5,5,5,4,4,5,4,4,4,4,5,5,4,4,4,5,5,5,4,4,"Adult","female",20,21,26,27
"108",2,25,8,5,5,5,5,5,4,4,5,5,3,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",20,23,28,30
"109",2,41,54,4,3,2,2,4,2,4,3,3,4,3,4,3,2,4,2,2,3,4,3,3,"Adult","male",11,16,20,17
"110",2,31,12,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",18,25,30,30
"111",2,22,8,2,4,5,1,5,5,5,5,5,3,5,2,4,4,4,5,5,5,5,5,5,"Young Adult","male",12,25,22,30
"112",2,23,9,3,4,4,4,5,4,4,4,4,4,5,5,5,4,3,3,4,5,5,5,5,"Young Adult","male",15,21,26,27
"113",2,24,2,5,5,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,"Young Adult","male",18,21,29,30
"114",1,43,39,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,"Adult","female",20,25,29,29
